drugcomb_name,beataml_name,match_source
BI 2536,,no_match
BI-D1870,,no_match
BIBR 1532,,no_match
BIX 02189,,no_match
BIX-01294,,no_match
BMS-509744,,no_match
BMS-536924,,no_match
BMS614,,no_match
BRD-A02303741,,no_match
BRD-A02303741:carboplatin (1:1 mol/mol),,no_match
BRD-A02303741:navitoclax (2:1 mol/mol),,no_match
BRD-A05715709,,no_match
BRD-A71883111,,no_match
BRD-A86708339,,no_match
BRD-A94377914,,no_match
BRD-K01737880,,no_match
BRD-K02492147,,no_match
BRD-K03536150,,no_match
BRD-K03911514,,no_match
BRD-K04800985,,no_match
BRD-K07442505,,no_match
BRD-K11533227,,no_match
BRD-K13185470,,no_match
BRD-K13999467,,no_match
BRD-K14844214,,no_match
BRD-K16130065,,no_match
BRD-K20514654-001-01-8,,no_match
BRD-K24690302,,no_match
BRD-K27188169,,no_match
BRD-K27188169:navitoclax (2:1 mol/mol),,no_match
BRD-K27224038,,no_match
BRD-K27986637,,no_match
BRD-K28456706,,no_match
BRD-K29313308,,no_match
BRD-K30748066,,no_match
BRD-K33514849,,no_match
BRD-K34099515,,no_match
BRD-K34222889,,no_match
BRD-K35604418,,no_match
BRD-K42260513,,no_match
BRD-K49290616,,no_match
BRD-K50799972,,no_match
BRD-K51490254,,no_match
BRD-K51831558,,no_match
BRD-K55116708,,no_match
BRD-K55473186-001-01-2,,no_match
BRD-K58730230,,no_match
BRD-K61166597,,no_match
BRD-K63431240,,no_match
BRD-K66532283,,no_match
BRD-K71781559,,no_match
BRD-K71935468,,no_match
BRD-K79669418,,no_match
BRD-K80183349,,no_match
BRD-K85133207,,no_match
BRD-K86535717,,no_match
BRD-K88742110,,no_match
BRD-K92856060,,no_match
BRD-K94991378,,no_match
BRD-K96431673,,no_match
BRD-K96970199,,no_match
BRD-K97651142,,no_match
BRD-K99006945,,no_match
BRD-K99584050,,no_match
BRD-M00053801,,no_match
BRD1812,,no_match
BRD1835,,no_match
BRD8899,,no_match
BRD8958,,no_match
